"Id","Contrato","Numero","Fecha Envio","Total","Adjunto","Estado"
"1376","4112-69-CL18","3191-3367-SE20","20/07/2020","$773.500,00","","ACEPTADA"
"1377","4112-13-CL20","3191-3405-SE20","20/07/2020","$3.144.218,00","","RECEPCIÓN CONFORME"
"531","296972-56-CL20","3191-3172-SE21","02/06/2021","$9.232.734,00","","ACEPTADA"
"532","296972-5-CL20","3191-3185-SE21","03/06/2021","$510.510,00","","ACEPTADA"
"533","296972-5-CL20","3191-3515-SE21","22/06/2021","$542.640,00","","ACEPTADA"
"534","296972-5-CL20","3191-2962-SE21","26/05/2021","$499.800,00","","ACEPTADA"
"535","296972-61-CL19","3191-3691-SE21","01/07/2021","$769.692,00","","ACEPTADA"
"536","296972-67-CL19","3191-3476-SE21","18/06/2021","$5.280.858,00","","ACEPTADA"
"537","296972-67-CL19","3191-2630-SE21","10/05/2021","$542.878,00","","RECEPCIÓN CONFORME"
"538","296972-67-CL19","3191-2450-SE21","03/05/2021","$1.251.556,00","","RECEPCIÓN CONFORME"
"539","296972-67-CL19","3191-2540-SE21","05/05/2021","$1.251.556,00","","RECEPCIÓN CONFORME"
"540","296972-67-CL19","3191-3350-SE21","14/06/2021","$2.681.572,00","","ACEPTADA"
"541","4112-18-CL20","3191-3708-SE20","06/08/2020","$28.500.500,00","","RECEPCIÓN CONFORME"
"542","296972-67-CL19","3191-3323-SE21","11/06/2021","$2.823.156,00","","ACEPTADA"
"543","4112-38-CL19","3191-3795-SE20","13/08/2020","$638.524,00","","RECEPCIÓN CONFORME"
"544","4112-16-CL20","3191-3799-SE20","13/08/2020","$428.400,00","","RECEPCIÓN CONFORME"
"545","4112-38-CL19","3191-3800-SE20","13/08/2020","$1.379.246,00","","RECEPCIÓN CONFORME"
"546","4112-71-CL18","3191-3819-SE20","17/08/2020","$4.606.490,00","","RECEPCIÓN CONFORME"
"547","4112-29-CL19","3191-3839-SE20","18/08/2020","$619.514,00","","ACEPTADA"
"548","4112-69-CL18","3191-3841-SE19","31/07/2019","$773.500,00","","ACEPTADA"
"549","4112-69-CL18","3191-3863-SE20","18/08/2020","$773.500,00","","ACEPTADA"
"550","4112-31-CL20","3191-4049-SE20","26/08/2020","$767.550,00","","RECEPCIÓN CONFORME"
"551","4112-71-CL18","3191-4069-SE19","09/08/2019","$4.923.030,00","","RECEPCIÓN CONFORME"
"552","4112-71-CL18","3191-4088-SE20","28/08/2020","$1.819.510,00","","ACEPTADA"
"553","4112-18-CL20","3191-4092-SE20","28/08/2020","$159.460,00","","RECEPCIÓN CONFORME"
"554","4112-38-CL19","3191-4099-SE20","31/08/2020","$547.573,00","","RECEPCIÓN CONFORME"
"555","4112-38-CL19","3191-4101-SE20","31/08/2020","$1.379.246,00","","RECEPCIÓN CONFORME"
"556","4112-3-CL20","3191-4117-SE20","01/09/2020","$7.234.837,00","","ACEPTADA"
"557","4112-3-CL20","3191-4118-SE20","01/09/2020","$7.234.837,00","","ACEPTADA"
"558","4112-3-CL20","3191-4119-SE20","01/09/2020","$7.234.837,00","","ACEPTADA"
"559","4112-38-CL19","3191-4120-SE20","01/09/2020","$183.390,00","","RECEPCIÓN CONFORME"
"560","4112-27-CL19","3191-4184-SE19","19/08/2019","$3.151.715,00","","RECEPCIÓN CONFORME"
"561","4112-43-CL19","3191-4207-SE19","16/08/2019","$1.257.142,00","","RECEPCIÓN CONFORME"
"562","4112-13-CL20","3191-4222-SE20","07/09/2020","$669.256,00","","RECEPCIÓN CONFORME"
"563","4112-43-CL19","3191-4279-SE20","09/09/2020","$1.823.989,00","","ACEPTADA"
"564","4112-38-CL19","3191-4292-SE20","09/09/2020","$118.524,00","","RECEPCIÓN CONFORME"
"565","4112-69-CL18","3191-4309-SE20","10/09/2020","$773.500,00","","ACEPTADA"
"566","4112-71-CL18","3191-4322-SE20","22/09/2020","$5.272.890,00","","RECEPCIÓN CONFORME"
"567","4112-43-CL19","3191-4331-SE20","10/09/2020","$1.210.378,00","","RECEPCIÓN CONFORME"
"568","4112-4-CL19","3191-4332-SE19","22/08/2019","$310.911,00","","ACEPTADA"
"569","4112-27-CL19","3191-4334-SE20","10/09/2020","$2.942.394,00","","RECEPCIÓN CONFORME"
"570","4112-13-CL20","3191-436-SE21","18/01/2021","$3.604.272,00","","ACEPTADA"
"571","4112-16-CL20","3191-437-SE21","18/01/2021","$4.226.880,00","","ACEPTADA"
"572","4112-22-CL19","3191-4462-SE19","30/08/2019","$2.593.010,00","","ACEPTADA"
"573","4112-69-CL18","3191-4471-SE19","30/08/2019","$773.500,00","","ACEPTADA"
"574","4112-4-CL19","3191-4480-SE19","30/08/2019","$66.794,00","","ACEPTADA"
"575","296972-67-CL19","3191-3321-SE21","11/06/2021","$1.716.387,00","","ACEPTADA"
"576","4112-31-CL20","3191-459-SE21","19/01/2021","$1.023.400,00","","ACEPTADA"
"577","4112-38-CL19","3191-4616-SE20","24/09/2020","$2.268.130,00","","RECEPCIÓN CONFORME"
"578","4112-38-CL19","3191-4631-SE20","24/09/2020","$1.379.246,00","","RECEPCIÓN CONFORME"
"579","4112-4-CL19","3191-4673-SE19","05/09/2019","$679.014,00","","ACEPTADA"
"580","4112-45-CL20","3191-4674-SE20","28/09/2020","$3.481.107,00","","RECEPCIÓN CONFORME"
"581","4112-71-CL18","3191-4675-SE20","29/09/2020","$4.504.150,00","","RECEPCIÓN CONFORME"
"582","4112-3-CL20","3191-4687-SE20","29/09/2020","$7.234.837,00","","ENVIADA A PROVEEDOR"
"583","4112-13-CL20","3191-4728-SE20","30/09/2020","$3.562.384,00","","RECEPCIÓN CONFORME"
"584","4112-16-CL20","3191-4729-SE20","30/09/2020","$4.231.164,00","","RECEPCIÓN CONFORME"
"585","4112-45-CL20","3191-475-SE21","19/01/2021","$928.295,00","","ACEPTADA"
"586","TD-0001","3191-5853-SE20","03/12/2020","$541.331,00","","ACEPTADA"
"587","TD-0002","3191-6822-SE19","16/12/2019","$1.279.793,00","","ACEPTADA"
"588","TD-0002","3191-4066-SE20","28/08/2020","$210.773,00","","ACEPTADA"
"589","TD-0002","3191-4509-SE20","21/09/2020","$448.019,00","","ACEPTADA"
"590","TD-0002","3191-6054-SE19","13/11/2019","$407.820,00","","ACEPTADA"
"591","TD-0002","3191-3307-SE20","17/07/2020","$204.166,00","","ACEPTADA"
"592","TD-0002","3191-5088-SE20","29/10/2020","$276.134,00","","ACEPTADA"
"593","TD-0004","3191-479-SE21","20/01/2021","$600.000,00","","ACEPTADA"
"594","TD-0004","3191-1474-SE21","15/03/2021","$342.000,00","","ACEPTADA"
"595","TD-0004","3191-1083-SE21","19/02/2021","$574.975,00","","ACEPTADA"
"596","TD-0004","3191-960-SE21","16/02/2021","$453.975,00","","ACEPTADA"
"597","TD-0004","3191-995-SE21","16/02/2021","$1.410.000,00","","ACEPTADA"
"598","TD-0005","3191-4901-SE20","09/10/2020","$2.380.000,00","","RECEPCIÓN CONFORME"
"599","TD-0005","3191-5465-SE20","13/11/2020","$2.380.000,00","","RECEPCIÓN CONFORME"
"600","TD-0005","3191-5736-SE20","30/11/2020","$2.380.000,00","","RECEPCIÓN CONFORME"
"601","TD-0005","3191-1217-SE21","01/03/2021","$2.380.000,00","","ACEPTADA"
"602","TD-0005","3191-3873-SE20","24/08/2020","$2.380.000,00","","RECEPCIÓN CONFORME"
"603","TD-0007","3191-5541-SE17BK2","07/11/2017","$9.692.550,00","","ANULADA"
"604","TD-0007","3191-6603-SE17BK2","29/12/2017","$2.332.400,00","","ANULADA"
"605","TD-0007","3191-3598-SE18BK2","19/07/2018","$725.900,00","","ANULADA"
"606","TD-0007","3191-1314-SE20BK1","26/03/2020","$345.100,00","","ANULADA"
"607","TD-0007","3191-254-SE20BK1","17/01/2020","$40.460.000,00","","ANULADA"
"608","TD-0007","3191-3219-SE19BK2","06/08/2019","$773.500,00","","ANULADA"
"609","TD-0007","3191-7334-SE16BK1","06/01/2017","$184.093,00","","ANULADA"
"610","TD-0007","3191-3005-SE17BK1","28/06/2017","$4.850.143,00","","ANULADA"
"611","TD-0007","3191-6359-SE17BK1","11/12/2017","$190.400,00","","ANULADA"
"612","TD-0007","3191-292-SE17BK1","20/01/2017","$368.186,00","","ANULADA"
"613","296972-67-CL19","3191-3860-SE21","07/07/2021","$1.572.696,00","","ACEPTADA"
"614","296972-67-CL19","3191-2727-SE21","13/05/2021","$2.638.858,00","","ACEPTADA"
"615","296972-67-CL19","3191-2799-SE21","17/05/2021","$3.585.613,00","","ACEPTADA"
"616","296972-6-CL20","3191-3039-SE21","28/05/2021","$2.738.618,00","","ACEPTADA"
"617","296972-9-CL20","3191-2942-SE21","25/05/2021","$5.604.651,00","","ACEPTADA"
"618","296972-9-CL20","3191-2869-SE21","20/05/2021","$14.086.268,00","","ACEPTADA"
"619","296972-9-CL20","3191-3191-SE21","03/06/2021","$265.180,00","","ACEPTADA"
"620","296972-9-CL20","3191-3525-SE21","22/06/2021","$5.355.000,00","","ACEPTADA"
"621","296972-9-CL20","3191-3514-SE21","22/06/2021","$3.966.865,00","","ACEPTADA"
"622","4112-11-CL21","3191-3638-SE21","30/06/2021","$1.333.333,00","","ENVIADA A PROVEEDOR"
"623","4112-12-CL21","3191-3631-SE21","29/06/2021","$1.839.149,00","","ENVIADA A PROVEEDOR"
"624","4112-13-CL19","3191-3735-SE21","01/07/2021","$390.320,00","","ACEPTADA"
"625","4112-13-CL20","3191-3587-SE21","25/06/2021","$971.040,00","","ACEPTADA"
"626","4112-13-CL20","3191-3913-SE21","09/07/2021","$928.200,00","","ACEPTADA"
"627","4112-13-CL21","3191-3825-SE21","06/07/2021","$10.472.000,00","","ACEPTADA"
"628","4112-13-CL21","3191-3568-SE21","24/06/2021","$7.854.000,00","","ACEPTADA"
"629","4112-14-CL20","3191-3592-SE21","25/06/2021","$1.785.000,00","","ACEPTADA"
"630","4112-14-CL20","3191-3832-SE21","06/07/2021","$1.547.000,00","","ACEPTADA"
"631","4112-14-CL20","3191-3798-SE21","06/07/2021","$892.500,00","","ACEPTADA"
"632","4112-14-CL20","3191-2458-SE21","05/03/2021","$2.028.950,00","","ACEPTADA"
"633","4112-16-CL21","3191-2459-SE21","05/03/2021","$487.900,00","","ACEPTADA"
"634","4112-23-CL20","3191-2460-SE21","05/03/2021","$92.927,00","","ACEPTADA"
"635","4112-27-CL19","3191-2461-SE21","05/03/2021","$905.590,00","","ACEPTADA"
"636","4112-24-CL19","3191-2462-SE21","05/03/2021","$1.840.437,00","","ACEPTADA"
"637","4112-43-CL19","3191-2463-SE21","05/03/2021","$331.804,00","","ACEPTADA"
"638","4112-23-CL19","3191-2464-SE21","05/03/2021","$132.209,00","","ACEPTADA"
"639","4112-14-CL20","3191-3654-SE21","30/06/2021","$1.499.400,00","","ACEPTADA"
"640","4112-29-CL19","3191-2490-SE21","05/04/2021","$717.332,00","","ACEPTADA"
"641","4112-14-CL20","3191-4019-SE21","14/07/2021","$2.677.500,00","","ACEPTADA"
"642","4112-45-CL20","3191-2483-SE21","05/04/2021","$2.784.886,00","","ACEPTADA"
"643","4112-13-CL21","3191-2484-SE21","05/04/2021","$11.781.000,00","","ACEPTADA"
"644","4112-43-CL20","3191-2518-SE21","05/05/2021","$773.500,00","","ACEPTADA"
"645","4112-14-CL20","3191-3690-SE21","01/07/2021","$3.034.500,00","","ACEPTADA"
"646","4112-14-CL20","3191-3972-SE21","13/07/2021","$1.898.050,00","","ACEPTADA"
"647","4112-15-CL20","3191-2516-SE21","05/05/2021","$874.650,00","","ACEPTADA"
"648","4112-15-CL20","3191-2519-SE21","05/05/2021","$874.650,00","","ACEPTADA"
"649","4112-15-CL20","3191-3772-SE21","05/07/2021","$874.650,00","","ACEPTADA"
"650","4112-15-CL20","3191-3774-SE21","05/07/2021","$874.650,00","","ACEPTADA"
"651","4112-15-CL20","3191-2647-SE21","11/05/2021","$874.650,00","","ACEPTADA"
"652","TD-0001","3191-4557-SE20BK1","22/09/2020","$617.016,00","","ANULADA"
"653","TD-0001","3191-6819-SE19BK1","16/12/2019","$1.356.155,00","","ANULADA"
"654","TD-0001","3191-5104-SE20BK1","23/10/2020","$282.791,00","","ANULADA"
"655","TD-0001","3191-4074-SE20BK1","28/08/2020","$202.676,00","","ANULADA"
"656","TD-0001","3191-228-SE20BK1","13/01/2020","$79.063,00","","ANULADA"
"657","TD-0001","3191-1892-SE20BK1","15/04/2020","$713.627,00","","ANULADA"
"658","TD-0001","3191-374-SE21BK1","14/01/2021","$775.855,00","","ANULADA"
"659","TD-0001","3191-1482-SE20BK1","25/03/2020","$741.527,00","","ANULADA"
"660","TD-0001","3191-2524-SE20BK1","02/06/2020","$92.986,00","","ANULADA"
"661","TD-0001","3191-949-SE20BK1","25/02/2020","$1.301.478,00","","ANULADA"
"662","TD-0001","3191-6034-SE20BK1","15/12/2020","$1.017.297,00","","ANULADA"
"663","TD-0001","3191-5490-SE19BK1","16/10/2019","$476.987,00","","ANULADA"
"664","TD-0001","3191-5491-SE19BK1","16/10/2019","$645.386,00","","ANULADA"
"665","TD-0001","3191-2123-SE21BK1","15/04/2021","$895.245,00","","ANULADA"
"666","TD-0001","3191-1519-SE21BK1","17/03/2021","$788.036,00","","ANULADA"
"667","TD-0001","3191-5613-SE19BK1","22/10/2019","$741.030,00","","ANULADA"
"668","TD-0001","3191-5853-SE20BK1","03/12/2020","$541.331,00","","ANULADA"
"669","TD-0001","3191-996-SE21BK1","16/02/2021","$974.264,00","","ANULADA"
"670","TD-0001","3191-6047-SE19BK1","13/11/2019","$1.744.513,00","","ANULADA"
"671","TD-0001","3191-3305-SE20BK1","17/07/2020","$212.141,00","","ANULADA"
"672","TD-0001","3191-3306-SE20BK1","17/07/2020","$325.452,00","","ANULADA"
"673","TD-0002","3191-6822-SE19BK1","16/12/2019","$1.279.793,00","","ANULADA"
"674","TD-0002","3191-4066-SE20BK1","28/08/2020","$210.773,00","","ANULADA"
"675","TD-0002","3191-4509-SE20BK1","21/09/2020","$448.019,00","","ANULADA"
"676","TD-0002","3191-229-SE20BK1","13/01/2020","$53.569,00","","ANULADA"
"677","TD-0002","3191-1893-SE20BK1","15/04/2020","$618.694,00","","ANULADA"
"678","TD-0002","3191-375-SE21BK1","14/01/2021","$1.066.746,00","","ANULADA"
"679","TD-0002","3191-1480-SE20BK1","25/03/2020","$545.040,00","","ANULADA"
"680","TD-0002","3191-2528-SE20BK1","02/06/2020","$92.986,00","","ANULADA"
"681","TD-0002","3191-6054-SE20BK1","15/12/2020","$895.679,00","","ANULADA"
"682","TD-0002","3191-4217-SE19BK1","16/08/2019","$2.125.522,00","","ANULADA"
"683","TD-0002","3191-4216-SE19BK1","16/08/2019","$645.445,00","","ANULADA"
"684","TD-0002","3191-940-SE21BK1","11/02/2021","$263.151,00","","ANULADA"
"685","TD-0002","3191-5062-SE19BK1","27/09/2019","$1.153.858,00","","ANULADA"
"686","TD-0002","3191-5841-SE20BK1","03/12/2020","$523.197,00","","ANULADA"
"687","TD-0002","3191-2126-SE21BK1","15/04/2021","$1.161.176,00","","ANULADA"
"688","TD-0002","3191-5261-SE19BK1","08/10/2019","$1.185.896,00","","ANULADA"
"689","TD-0002","3191-2953-SE20BK1","26/06/2020","$288.854,00","","ANULADA"
"690","TD-0002","3191-1521-SE21BK1","17/03/2021","$507.187,00","","ANULADA"
"691","TD-0002","3191-6054-SE19BK1","13/11/2019","$407.820,00","","ANULADA"
"692","TD-0002","3191-3307-SE20BK1","17/07/2020","$204.166,00","","ANULADA"
"693","TD-0002","3191-5088-SE20BK1","29/10/2020","$276.134,00","","ANULADA"
"694","TD-0004","3191-479-SE21BK1","20/01/2021","$600.000,00","","ANULADA"
"695","TD-0004","3191-1474-SE21BK1","15/03/2021","$342.000,00","","ANULADA"
"696","TD-0004","3191-1083-SE21BK1","19/02/2021","$574.975,00","","ANULADA"
"697","TD-0004","3191-960-SE21BK1","16/02/2021","$453.975,00","","ANULADA"
"698","TD-0004","3191-995-SE21BK1","16/02/2021","$1.410.000,00","","ANULADA"
"699","TD-0005","3191-4901-SE20BK1","09/10/2020","$2.380.000,00","","ANULADA"
"700","TD-0005","3191-5465-SE20BK1","13/11/2020","$2.380.000,00","","ANULADA"
"701","TD-0005","3191-5736-SE20BK1","30/11/2020","$2.380.000,00","","ANULADA"
"702","TD-0005","3191-1217-SE21BK1","01/03/2021","$2.380.000,00","","ANULADA"
"703","TD-0005","3191-3873-SE20BK1","24/08/2020","$2.380.000,00","","ANULADA"
"704","TD-0007","3191-5541-SE17BK1","07/11/2017","$9.692.550,00","","ANULADA"
"705","TD-0007","3191-6603-SE17BK1","29/12/2017","$2.332.400,00","","ANULADA"
"706","TD-0007","3191-3598-SE18BK1","19/07/2018","$725.900,00","","ANULADA"
"707","4112-15-CL20","3191-2651-SE21","11/05/2021","$874.650,00","","ACEPTADA"
"708","4112-27-CL19","3191-2566-SE21","05/06/2021","$997.220,00","","ACEPTADA"
"709","TD-0007","3191-3219-SE19BK1","06/08/2019","$773.500,00","","ANULADA"
"710","4112-43-CL20","3191-2591-SE21","05/07/2021","$773.500,00","","ACEPTADA"
"711","4112-14-CL20","3191-2592-SE21","05/07/2021","$243.950,00","","ACEPTADA"
"712","4112-27-CL19","3191-2594-SE21","05/07/2021","$1.554.140,00","","ACEPTADA"
"713","4112-13-CL20","3191-2607-SE21","05/07/2021","$1.368.976,00","","ACEPTADA"
"714","4112-18-CL18","3191-2611-SE21","05/07/2021","$416.500,00","","ACEPTADA"
"715","TD-0007","3191-6086-SE17BK1","30/11/2017","$2.439.500,00","","ANULADA"
"716","4112-18-CL18","3191-2612-SE21","05/07/2021","$416.500,00","","ACEPTADA"
"717","4112-3-CL20","3191-2613-SE21","05/07/2021","$7.234.837,00","","ENVIADA A PROVEEDOR"
"718","4112-15-CL21","3191-2618-SE21","05/10/2021","$3.045.162,00","","ACEPTADA"
"719","4112-25-CL20","3191-2636-SE21","05/10/2021","$3.966.666,00","","ACEPTADA"
"720","4112-15-CL20","3191-2654-SE21","11/05/2021","$874.650,00","","ACEPTADA"
"721","4112-15-CL21","3191-3586-SE21","25/06/2021","$24.222.840,00","","ACEPTADA"
"722","4112-16-CL20","3191-3588-SE21","25/06/2021","$4.248.300,00","","ACEPTADA"
"723","4112-16-CL21","3191-3595-SE21","25/06/2021","$975.800,00","","ACEPTADA"
"724","4112-16-CL21","3191-3965-SE21","13/07/2021","$487.900,00","","ACEPTADA"
"725","4112-23-CL19","3191-2682-SE21","24/05/2021","$52.360,00","","ACEPTADA"
"726","4112-27-CL19","3191-2683-SE21","24/05/2021","$1.416.100,00","","ACEPTADA"
"727","4112-43-CL19","3191-6342-SE19","24/05/2021","$1.468.178,00","","ACEPTADA"
"728","4112-6-CL20","3191-2676-SE21","24/05/2021","$758.030,00","","ACEPTADA"
"729","4112-17-CL20","3191-3611-SE21","01/07/2021","$1.380.400,00","","ACEPTADA"
"730","4112-19-CL20","3191-3936-SE21","12/07/2021","$9.966.250,00","","ACEPTADA"
"731","4112-19-CL20","3191-3572-SE21","24/06/2021","$9.717.540,00","","ACEPTADA"
"732","4112-19-CL20","3191-3569-SE21","24/06/2021","$11.141.970,00","","ACEPTADA"
"733","4112-19-CL21","3191-3829-SE21","06/07/2021","$113.050,00","","ACEPTADA"
"734","4112-19-CL21","3191-3593-SE21","25/06/2021","$113.050,00","","ACEPTADA"
"735","4112-20-CL21","3191-3688-SE21","01/07/2021","$166.600,00","","ACEPTADA"
"736","4112-20-CL21","3191-3542-SE21","24/06/2021","$166.600,00","","ACEPTADA"
"737","4112-21-CL21","3191-2513-SE21","05/05/2021","$3.439.100,00","","ACEPTADA"
"738","4112-22-CL20","3191-3935-SE21","13/07/2021","$1.569.372,00","","ACEPTADA"
"739","4112-23-CL19","3191-3507-SE21","22/06/2021","$397.460,00","","ACEPTADA"
"740","4112-23-CL20","3191-4024-SE21","14/07/2021","$287.599,00","","ACEPTADA"
"741","4112-23-CL20","3191-3986-SE21","13/07/2021","$1.960.739,00","","ACEPTADA"
"742","4112-23-CL20","3191-3508-SE21","22/06/2021","$473.566,00","","ACEPTADA"
"743","4112-25-CL20","3191-3922-SE21","09/07/2021","$3.333.333,00","","ACEPTADA"
"744","4112-26-CL20","3191-3776-SE21","05/07/2021","$68.692.707,00","","ACEPTADA"
"745","4112-26-CL20","3191-2449-SE21","03/05/2021","$68.692.707,00","","ACEPTADA"
"746","4112-27-CL19","3191-4055-SE21","15/07/2021","$4.948.615,00","","ENVIADA A PROVEEDOR"
"747","4112-27-CL19","3191-3685-SE21","01/07/2021","$2.201.381,00","","ACEPTADA"
"748","4112-27-CL19","3191-3509-SE21","22/06/2021","$1.176.077,00","","ACEPTADA"
"749","4112-27-CL19","3191-3600-SE21","25/06/2021","$799.799,00","","ACEPTADA"
"750","4112-29-CL19","3191-3985-SE21","13/07/2021","$717.332,00","","ACEPTADA"
"751","4112-30-CL20","3191-2470-SE21","03/05/2021","$1.719.836,00","","RECEPCIÓN CONFORME"
"752","4112-30-CL20","3191-3093-SE21","31/05/2021","$4.061.589,00","","ACEPTADA"
"753","4112-30-CL20","3191-3650-SE21","30/06/2021","$4.061.589,00","","ACEPTADA"
"754","4112-32-CL20","3191-3987-SE21","13/07/2021","$618.800,00","","ENVIADA A PROVEEDOR"
"755","4112-35-CL20","3191-3656-SE21","30/06/2021","$486.000,00","","ACEPTADA"
"756","4112-36-CL19","3191-3756-SE21","02/07/2021","$3.778.250,00","","ACEPTADA"
"757","4112-37-CL19","3191-2866-SE21","25/05/2021","$3.444.355,00","","ACEPTADA"
"758","4112-38-CL19","3191-3657-SE21","05/07/2021","$2.758.491,00","","ACEPTADA"
"759","4112-38-CL19","3191-3662-SE21","05/07/2021","$4.263.104,00","","ACEPTADA"
"760","4112-38-CL20","3191-3968-SE21","13/07/2021","$26.180,00","","ACEPTADA"
"761","4112-39-CL20","3191-2889-SE21","24/05/2021","$41.650,00","","ACEPTADA"
"762","4112-39-CL20","3191-3827-SE21","06/07/2021","$41.650,00","","ACEPTADA"
"763","4112-39-CL20","3191-3170-SE21","03/06/2021","$41.650,00","","ACEPTADA"
"764","4112-39-CL20","3191-2658-SE21","11/05/2021","$41.650,00","","RECEPCIÓN CONFORME"
"765","4112-6-CL20","3191-2675-SE21","24/05/2021","$243.950,00","","ACEPTADA"
"766","4112-19-CL19","3191-277-SE20","15/01/2020","$102.397,00","","ACEPTADA"
"767","4112-19-CL19","3191-2857-SE19","12/06/2019","$353.430,00","","RECEPCIÓN CONFORME"
"768","4112-19-CL19","3191-2858-SE19","12/06/2019","$252.899,00","","ACEPTADA"
"769","4112-19-CL19","3191-3368-SE20","19/07/2020","$202.895,00","","ACEPTADA"
"770","4112-19-CL19","3191-3465-SE19","10/07/2019","$70.785,00","","RECEPCIÓN CONFORME"
"771","4112-19-CL19","3191-3589-SE20","30/07/2020","$43.302,00","","ACEPTADA"
"772","4112-19-CL19","3191-3594-SE20","30/07/2020","$72.257,00","","ACEPTADA"
"773","4112-19-CL19","3191-3598-SE20","30/07/2020","$235.620,00","","ACEPTADA"
"774","4112-19-CL19","3191-3599-SE20","30/07/2020","$235.620,00","","ACEPTADA"
"775","4112-19-CL19","3191-3600-SE20","30/07/2020","$302.353,00","","ACEPTADA"
"776","4112-19-CL19","3191-4024-SE19","08/08/2019","$45.501,00","","RECEPCIÓN CONFORME"
"777","4112-19-CL19","3191-4325-SE20","10/09/2020","$222.530,00","","ACEPTADA"
"778","4112-19-CL19","3191-4342-SE20","10/09/2020","$75.398,00","","ACEPTADA"
"779","4112-19-CL19","3191-4344-SE20","10/09/2020","$1.294.618,00","","ACEPTADA"
"780","4112-19-CL19","3191-4976-SE19","24/09/2019","$6.906.943,00","","ACEPTADA"
"781","4112-19-CL19","3191-4979-SE20","16/10/2020","$257.415,00","","ACEPTADA"
"782","4112-19-CL19","3191-4-SE20","02/01/2020","$197.921,00","","ACEPTADA"
"783","4112-19-CL19","3191-5166-SE20","27/10/2020","$1.657.194,00","","ACEPTADA"
"784","4112-19-CL19","3191-5710-SE19","28/10/2019","$76.446,00","","RECEPCIÓN CONFORME"
"785","4112-19-CL19","3191-6015-SE20","14/12/2020","$134.500,00","","ACEPTADA"
"786","4112-19-CL19","3191-6019-SE20","14/12/2020","$132.890,00","","ACEPTADA"
"787","4112-19-CL19","3191-6140-SE20","17/12/2020","$198.641,00","","ACEPTADA"
"788","4112-19-CL19","3191-6141-SE20","17/12/2020","$450.722,00","","ACEPTADA"
"789","4112-19-CL19","3191-7001-SE19","23/12/2019","$91.630,00","","ACEPTADA"
"790","4112-19-CL19","3191-7002-SE19","23/12/2019","$353.430,00","","ACEPTADA"
"791","4112-19-CL19","3191-7004-SE19","23/12/2019","$274.890,00","","ACEPTADA"
"792","4112-20-CL20","3191-4793-SE20","05/10/2020","$1.523.200,00","","ACEPTADA"
"793","4112-21-CL21","3191-129-SE17","06/01/2017","$1.685.159,00","","RECEPCIÓN CONFORME"
"794","4112-21-CL21","3191-2145-SE17","27/04/2017","$1.210.766,00","","ACEPTADA"
"795","4112-21-CL21","3191-3262-SE17","21/06/2017","$2.053.345,00","","ACEPTADA"
"796","4112-21-CL21","3191-3932-SE17","27/07/2017","$828.419,00","","RECEPCIÓN CONFORME"
"797","4112-21-CL21","3191-4421-SE17","23/08/2017","$1.189.524,00","","RECEPCIÓN CONFORME"
"798","4112-22-CL20","3191-1108-SE21","22/02/2021","$12.986.518,00","","ACEPTADA"
"799","4112-22-CL20","3191-156-SE21","09/01/2021","$2.832.628,00","","ACEPTADA"
"800","4112-22-CL20","3191-1992-SE20","23/04/2020","$3.237.133,00","","RECEPCIÓN CONFORME"
"801","4112-22-CL20","3191-3270-SE20","14/07/2020","$3.237.133,00","","RECEPCIÓN CONFORME"
"802","4112-22-CL20","3191-4047-SE20","26/08/2020","$2.937.848,00","","RECEPCIÓN CONFORME"
"803","4112-22-CL20","3191-4671-SE20","28/09/2020","$2.937.848,00","","RECEPCIÓN CONFORME"
"804","4112-22-CL20","3191-5229-SE20","30/10/2020","$2.937.848,00","","RECEPCIÓN CONFORME"
"805","4112-22-CL20","3191-6031-SE20","15/12/2020","$1.944.746,00","","ACEPTADA"
"806","4112-26-CL20","3191-1291-SE21","04/03/2021","$68.692.707,00","","ACEPTADA"
"807","4112-26-CL20","3191-1924-SE21","07/04/2021","$68.692.707,00","","ACEPTADA"
"808","4112-26-CL20","3191-2963-SE20","26/06/2020","$29.135.188,00","","ACEPTADA"
"809","4112-26-CL20","3191-2994-SE20","30/06/2020","$39.557.519,00","","RECEPCIÓN CONFORME"
"810","4112-26-CL20","3191-3068-SE20","02/07/2020","$68.692.707,00","","ACEPTADA"
"811","4112-26-CL20","3191-3451-SE20","23/07/2020","$59.627.948,00","","RECEPCIÓN CONFORME"
"812","4112-26-CL20","3191-3467-SE20","23/07/2020","$9.064.760,00","","ACEPTADA"
"813","4112-26-CL20","3191-4078-SE20","28/08/2020","$68.692.707,00","","ACEPTADA"
"814","4112-26-CL20","3191-4414-SE20","15/09/2020","$54.435.602,00","","ENVIADA A PROVEEDOR"
"815","4112-26-CL20","3191-4416-SE20","15/09/2020","$14.257.106,00","","ACEPTADA"
"816","4112-26-CL20","3191-4785-SE20","05/10/2020","$68.692.707,00","","ACEPTADA"
"817","4112-26-CL20","3191-5268-SE20","04/11/2020","$68.692.707,00","","ACEPTADA"
"818","4112-26-CL20","3191-5787-SE20","01/12/2020","$68.692.707,00","","ACEPTADA"
"819","4112-26-CL20","3191-6293-SE20","28/12/2020","$68.692.707,00","","ACEPTADA"
"820","4112-26-CL20","3191-654-SE21","27/01/2021","$68.692.707,00","","ACEPTADA"
"821","4112-30-CL20","3191-1200-SE21","26/02/2021","$4.061.589,00","","ACEPTADA"
